county_id,prec_id,total_votes,pct_latino,pct_trump,pct_clinton,state
201,2010610,1013.0,0.873132083040818,0.343534057255676,0.588351431391905,tx
201,2010611,1209.0,0.226998904709748,0.0372208436724566,0.928866832092639,tx
201,2010612,2365.0,0.126116314528425,0.673572938689218,0.241437632135307,tx
201,2010613,1278.0,0.530898104916232,0.132237871674491,0.809076682316119,tx
201,2010614,2598.0,0.39039039039039,0.253271747498075,0.698614318706697,tx
201,2010615,1377.0,0.217562254259502,0.461873638344227,0.469862018881627,tx
201,2010616,2425.0,0.169507942657885,0.597113402061856,0.334020618556701,tx
201,2010617,2358.0,0.385284810126582,0.292196776929601,0.652247667514843,tx
201,2010618,2246.0,0.495297372060858,0.363757791629564,0.577916295636687,tx
201,2010619,3462.0,0.120791108205296,0.63893703061814,0.285673021374928,tx
201,2010620,2093.0,0.185822306238185,0.440516005733397,0.510750119445772,tx
201,2010621,739.0,0.517660910518053,0.327469553450609,0.584573748308525,tx
201,2010622,2732.0,0.411920988795195,0.463396778916545,0.471815519765739,tx
201,2010623,2426.0,0.192721932114883,0.568013190436933,0.36603462489695,tx
201,2010624,358.0,0.0,0.698324022346369,0.240223463687151,tx
201,2010625,1304.0,0.148921117792713,0.45398773006135,0.474693251533742,tx
201,2010626,3094.0,0.330293159609121,0.435358758888171,0.486102133160957,tx
201,2010627,1587.0,0.500736377025037,0.231253938248267,0.712665406427221,tx
201,2010628,1266.0,0.772020725388601,0.316745655608215,0.635860979462875,tx
201,2010629,258.0,0.337506018295619,0.112403100775194,0.848837209302326,tx
201,2010630,3223.0,0.171459326464709,0.084083152342538,0.875271486192988,tx
201,2010631,2247.0,0.145959595959596,0.59190031152648,0.339118825100134,tx
201,2010632,5.0,0.105793450881612,0.2,0.8,tx
201,2010633,2888.0,0.137976929902396,0.595914127423823,0.331717451523546,tx
201,2010634,1938.0,0.306529951430113,0.52218782249742,0.41640866873065,tx
201,2010635,2172.0,0.158190045248869,0.669429097605893,0.24585635359116,tx
201,2010636,3226.0,0.103321622484829,0.851208927464352,0.105703657780533,tx
201,2010637,1523.0,0.828333002185575,0.191726854891661,0.75311884438608,tx
201,2010638,1203.0,0.287603734439834,0.0756442227763924,0.881961762261014,tx
201,2010639,1673.0,0.296835875256089,0.719067543335326,0.225343693962941,tx
201,2010640,2235.0,0.311352133044107,0.518568232662192,0.413422818791946,tx
201,2010641,2323.0,0.297111210896572,0.536375376668102,0.412397761515282,tx
201,2010642,1301.0,0.0985401459854015,0.724827056110684,0.224442736356649,tx
201,2010643,2545.0,0.41213288396726,0.421611001964637,0.521414538310413,tx
201,2010644,2786.0,0.249838605551969,0.502153625269203,0.42964824120603,tx
201,2010645,2930.0,0.195127504553734,0.338566552901024,0.593174061433447,tx
201,2010646,1325.0,0.302481902792141,0.227169811320755,0.720754716981132,tx
201,2010647,1901.0,0.279883971937399,0.207259337190952,0.757496054708048,tx
201,2010648,2366.0,0.120471215825739,0.620456466610313,0.311496196111581,tx
201,2010649,2332.0,0.405530407400118,0.214408233276158,0.734562607204117,tx
201,2010650,2861.0,0.286424664346096,0.592450192240475,0.339741349178609,tx
201,2010651,2286.0,0.338760107816712,0.463692038495188,0.462379702537183,tx
201,2010652,1712.0,0.199573560767591,0.128504672897196,0.83411214953271,tx
201,2010654,3088.0,0.437906647807638,0.463082901554404,0.480569948186528,tx
201,2010655,2725.0,0.199097211026922,0.474128440366972,0.448073394495413,tx
201,2010656,1508.0,0.302708175145533,0.0391246684350133,0.933023872679045,tx
201,2010657,960.0,0.426666666666667,0.301041666666667,0.636458333333333,tx
201,2010658,1794.0,0.261817396935031,0.551839464882943,0.375696767001115,tx
201,2010659,3545.0,0.145582854155776,0.642313117066291,0.302115655853315,tx
201,2010660,1921.0,0.247515380974917,0.0822488287350338,0.881311816762103,tx
201,2010661,2727.0,0.417177914110429,0.425375870920425,0.4998166483315,tx
201,2010662,2840.0,0.181645477129914,0.761267605633803,0.195070422535211,tx
201,2010663,1791.0,0.352480955322215,0.411501954215522,0.505304299274149,tx
201,2010664,1423.0,0.821787025703794,0.176387912860155,0.763879128601546,tx
201,2010665,1689.0,0.218259162303665,0.752516281823564,0.191237418590882,tx
201,2010667,1516.0,0.168103448275862,0.655013192612137,0.273087071240106,tx
201,2010668,2277.0,0.308331722404794,0.530083443126921,0.393061045234958,tx
201,2010669,2603.0,0.123711340206186,0.584709950057626,0.336918939684979,tx
201,2010670,2416.0,0.0816607093758592,0.71067880794702,0.223923841059603,tx
201,2010671,1993.0,0.297040555352576,0.474159558454591,0.453085800301054,tx
201,2010672,2219.0,0.289287816362566,0.633168093735917,0.302388463271744,tx
201,2010673,2094.0,0.172366621067031,0.764565425023878,0.184813753581662,tx
