total_votes,pct_latino,pct_trump,pct_clinton,state
1204.0,0.690953248,0.618770764,0.359634551,fl
1311.0,0.729290742,0.567505721,0.404271548,fl
2378.0,0.655247586,0.400336417,0.573591253,fl
2300.0,0.809625343,0.263478261,0.708695652,fl
2321.0,0.700500835,0.470486859,0.500646273,fl
1625.0,0.689555126,0.442461538,0.516923077,fl
1754.0,0.676930147,0.589509692,0.38027366,fl
1091.0,0.683979517,0.537121907,0.426214482,fl
1853.0,0.890460646,0.472207232,0.497571506,fl
1619.0,0.831284443,0.562075355,0.405188388,fl
2274.0,0.870447761,0.479771328,0.496042216,fl
1446.0,0.852709588,0.448824343,0.526970954,fl
153.0,0.822727273,0.68627451,0.300653595,fl
1401.0,0.839902676,0.557458958,0.417558887,fl
1206.0,0.841414718,0.580431177,0.392205638,fl
1080.0,0.829065301,0.633333333,0.332407407,fl
2234.0,0.864720653,0.568039391,0.40778872,fl
989.0,0.850105559,0.617795753,0.3619818,fl
2184.0,0.87863464,0.529761905,0.446886447,fl
2455.0,0.878370787,0.424032587,0.551120163,fl
1599.0,0.869951535,0.336460288,0.636647905,fl
1398.0,0.892203035,0.469957082,0.512160229,fl
1210.0,0.907639681,0.484297521,0.496694215,fl
890.0,0.85952381,0.631460674,0.350561798,fl
832.0,0.859202714,0.611778846,0.378605769,fl
1766.0,0.883394834,0.389580974,0.578708947,fl
2090.0,0.863233847,0.563636364,0.419138756,fl
12.0,0.047619048,0.083333333,0.916666667,fl
2019.0,0.893617021,0.493313522,0.472015849,fl
2212.0,0.885881267,0.565551537,0.410488246,fl
1302.0,0.878648233,0.4546851,0.522273425,fl
1198.0,0.878435518,0.506677796,0.476627713,fl
84.0,0.801587302,0.345238095,0.642857143,fl
1111.0,0.803560467,0.428442844,0.548154815,fl
573.0,0.873939394,0.528795812,0.439790576,fl
2098.0,0.863164721,0.515252622,0.464251668,fl
931.0,0.871349096,0.527389903,0.44575725,fl
2283.0,0.874707944,0.473061761,0.50065703,fl
2825.0,0.884436843,0.402831858,0.575221239,fl
5.0,0.357142857,0.0,1.0,fl
1237.0,0.87591623,0.503637833,0.463217462,fl
2017.0,0.69715972,0.434804165,0.526028756,fl
1589.0,0.586633663,0.482064191,0.492762744,fl
3.0,0.5,1.0,0.0,fl
1512.0,0.555135135,0.501984127,0.458333333,fl
1045.0,0.715061058,0.421052632,0.550239234,fl
493.0,0.830584708,0.498985801,0.45841785,fl
1663.0,0.88470973,0.40709561,0.565243536,fl
1207.0,0.57584771,0.29328914699999997,0.681855841,fl
2560.0,0.660964666,0.265625,0.701171875,fl
2713.0,0.739233038,0.59233321,0.377073351,fl
1704.0,0.880158033,0.482981221,0.483568075,fl
855.0,0.857027464,0.630409357,0.340350877,fl
2579.0,0.755387931,0.263280341,0.709577356,fl
966.0,0.741237882,0.249482402,0.716356108,fl
1246.0,0.834498834,0.566613162,0.402086677,fl
1216.0,0.87700831,0.438322368,0.533717105,fl
1418.0,0.890874882,0.393511989,0.592383639,fl
2839.0,0.898092248,0.439591405,0.534343079,fl
1454.0,0.899163569,0.472489684,0.504126547,fl
2178.0,0.886189258,0.382460973,0.587235996,fl
2441.0,0.780567041,0.407619828,0.566161409,fl
2256.0,0.743811881,0.316489362,0.655585106,fl
1997.0,0.778122576,0.292438658,0.66649975,fl
1804.0,0.889278752,0.345343681,0.605321508,fl
